Niles,"$23,543"
Nilwood,"$12,365"
Noble,"$14,290"
Nokomis,"$16,328"
Nora,"$17,608"
Normal,"$17,775"
Norridge,"$23,431"
Norris,"$16,205"
Norris City,"$13,671"
North Aurora,"$25,552"
North Barrington,"$78,326"
North Chicago,"$14,564"
North City,"$13,360"
North Henderson,"$16,292"
North Pekin,"$18,072"
North Riverside,"$24,034"
North Utica,"$23,061"
Northbrook,"$50,765"
Northfield,"$65,638"
Northlake,"$18,119"
Norwood,"$16,089"
O'Fallon,"$24,821"
Oak Brook,"$81,213"
Oak Forest,"$23,487"
Oak Grove,"$15,045"
Oak Lawn,"$23,877"
Oak Park,"$36,340"
Oakbrook Terrace,"$44,345"
Oakdale,"$18,651"
Oakford,"$21,309"
Oakland,"$15,964"
Oakwood,"$18,655"
Oakwood Hills,"$26,397"
Oblong,"$14,926"
Oconee,"$14,068"
Odell,"$18,538"
Odin,"$14,814"
Ogden,"$19,679"
Oglesby,"$18,674"
Ohio,"$18,858"
Ohlman,$0
Okawville,"$19,476"
Old Mill Creek,"$43,314"
Old Ripley,"$15,363"
Old Shawneetown,"$9,379"
Olmsted,"$13,615"
Olney,"$16,218"
Olympia Fields,"$46,698"
Omaha,"$12,766"
Onarga,"$13,623"
Oneida,"$16,991"
Oquawka,"$15,254"
Orangeville,"$17,437"
Oreana,"$20,133"
Oregon,"$19,019"
Orient,"$8,713"
Orion,"$21,043"
Orland Hills,"$21,415"
Orland Park,"$30,467"
Oswego,"$27,204"
Ottawa,"$19,426"
Otterville,"$10,588"
Owaneco,"$15,171"
Palatine,"$30,661"
Palestine,"$15,185"
Palmer,"$17,615"
Palmyra,"$14,801"
Palos Heights,"$32,895"
Palos Hills,"$25,331"
Palos Park,"$39,861"
Pana,"$14,897"
Panama,"$21,634"
Panola,"$24,259"
Papineau,"$16,730"
Paris,"$17,750"
Park City,"$18,595"
Park Forest,"$21,493"
Park Ridge,"$36,046"
Parkersburg,"$14,581"
Patoka,"$15,382"
Paw Paw,"$17,461"
Pawnee,"$21,599"
Paxton,"$18,617"
Payson,"$14,541"
Pearl,"$9,524"
Pearl City,"$19,256"
Pecatonica,"$20,420"
Pekin,"$19,616"
Peoria,"$20,512"
Peoria Heights,"$20,999"
Peotone,"$23,415"
Percy,"$15,524"
Perry,"$20,383"
Peru,"$20,658"
Pesotum,"$21,191"
Petersburg,"$18,718"
Phillipstown,"$21,188"
Philo,"$21,502"
Phoenix,"$14,321"
Pierron,"$18,196"
Pinckneyville,"$15,601"
Pingree Grove,"$23,396"
Piper City,"$19,393"
Pistakee Highlands,"$21,852"
Pittsburg,"$14,186"
Pittsfield,"$16,628"
Plainfield,"$28,242"
Plainville,"$13,700"
Plano,"$17,837"
Pleasant Hill,"$12,682"
Pleasant Plains,"$18,714"
Plymouth,"$12,150"
Pocahontas,"$14,562"
Polo,"$18,604"
Pontiac,"$16,863"
Pontoon Beach,"$15,960"
Pontoosuc,"$14,453"
Poplar Grove,"$20,493"
Port Barrington,"$41,284"
Port Byron,"$24,363"
Posen,"$17,323"
Potomac,"$15,197"
Prairie City,"$12,269"
Prairie du Rocher,"$14,771"
Prairie Grove,"$36,234"
Preston Heights,"$18,681"
Princeton,"$20,632"
Princeville,"$19,137"
Prophetstown,"$19,572"
Prospect Heights,"$28,200"
Pulaski,"$12,946"
Quincy,"$17,479"
Radom,"$13,882"
Raleigh,"$13,054"
Ramsey,"$13,878"
Rankin,"$14,005"
Ransom,"$17,524"
Rantoul,"$17,948"
Rapids City,"$24,499"
Raritan,"$14,484"
Raymond,"$18,231"
Red Bud,"$19,967"
Reddick,"$21,207"
Redmon,"$17,020"
Reynolds,"$21,804"
Richmond,"$22,332"
Richton Park,"$22,626"
Richview,"$15,546"
Ridge Farm,"$16,624"
Ridgway,"$16,959"
Ridott,"$16,846"
Ringwood,"$27,137"
